Era,Time,Sig_Landed,Sig_Att,TD_Landed,TD_Att,Sig_Landed_Per_Min,Sig_Att_Per_Min,TD_Landed_Per_Min,TD_Att_Per_Min
No-Rules Era,3.0166666666666666,2,3,1,1,0.6629834254143646,0.994475138121547,0.3314917127071823,0.3314917127071823
No-Rules Era,10.0,10,22,1,1,1.0,2.2,0.1,0.1
No-Rules Era,2.2,8,13,1,1,3.6363636363636362,5.909090909090908,0.45454545454545453,0.45454545454545453
No-Rules Era,2.3833333333333333,0,0,0,1,0.0,0.0,0.0,0.4195804195804196
No-Rules Era,0.35,12,18,1,1,34.285714285714285,51.42857142857143,2.857142857142857,2.857142857142857
No-Rules Era,2.9166666666666665,4,4,1,1,1.3714285714285714,1.3714285714285714,0.34285714285714286,0.34285714285714286
No-Rules Era,1.3833333333333333,17,28,0,0,12.289156626506024,20.240963855421686,0.0,0.0
No-Rules Era,2.033333333333333,12,17,0,0,5.901639344262295,8.360655737704919,0.0,0.0
No-Rules Era,1.6333333333333333,2,4,1,1,1.2244897959183674,2.4489795918367347,0.6122448979591837,0.6122448979591837
No-Rules Era,17.75,4,10,0,3,0.22535211267605634,0.5633802816901409,0.0,0.16901408450704225
No-Rules Era,2.2333333333333334,2,5,0,1,0.8955223880597015,2.2388059701492535,0.0,0.44776119402985076
No-Rules Era,0.15,0,0,0,0,0.0,0.0,0.0,0.0
No-Rules Era,1.8833333333333333,14,21,1,1,7.433628318584071,11.150442477876107,0.5309734513274337,0.5309734513274337
No-Rules Era,1.1333333333333333,6,8,2,2,5.294117647058823,7.0588235294117645,1.7647058823529411,1.7647058823529411
No-Rules Era,1.0333333333333334,8,22,0,0,7.741935483870967,21.29032258064516,0.0,0.0
No-Rules Era,0.3333333333333333,7,12,0,0,21.0,36.0,0.0,0.0
No-Rules Era,0.95,0,2,0,1,0.0,2.1052631578947367,0.0,1.0526315789473684
No-Rules Era,13.283333333333331,33,59,0,0,2.4843161856963616,4.441656210790465,0.0,0.0
No-Rules Era,8.0,29,58,1,1,3.625,7.25,0.125,0.125
No-Rules Era,12.45,4,7,0,0,0.321285140562249,0.5622489959839357,0.0,0.0
No-Rules Era,1.0166666666666666,2,3,1,1,1.9672131147540985,2.9508196721311477,0.9836065573770493,0.9836065573770493
No-Rules Era,3.083333333333333,0,0,1,1,0.0,0.0,0.32432432432432434,0.32432432432432434
No-Rules Era,1.0833333333333333,4,4,1,1,3.6923076923076925,3.6923076923076925,0.9230769230769231,0.9230769230769231
No-Rules Era,0.5166666666666667,1,5,0,0,1.9354838709677418,9.677419354838708,0.0,0.0
No-Rules Era,3.3833333333333333,1,1,1,1,0.2955665024630542,0.2955665024630542,0.2955665024630542,0.2955665024630542
No-Rules Era,1.6833333333333331,1,4,0,0,0.5940594059405941,2.3762376237623766,0.0,0.0
No-Rules Era,8.0,24,79,0,0,3.0,9.875,0.0,0.0
No-Rules Era,1.2333333333333334,1,1,1,1,0.8108108108108107,0.8108108108108107,0.8108108108108107,0.8108108108108107
No-Rules Era,1.0166666666666666,0,0,1,1,0.0,0.0,0.9836065573770493,0.9836065573770493
No-Rules Era,2.65,7,10,1,2,2.6415094339622645,3.7735849056603774,0.37735849056603776,0.7547169811320755
No-Rules Era,1.25,0,1,0,0,0.0,0.8,0.0,0.0
No-Rules Era,18.0,57,65,1,2,3.1666666666666665,3.611111111111111,0.05555555555555555,0.1111111111111111
No-Rules Era,18.0,6,33,0,3,0.3333333333333333,1.8333333333333333,0.0,0.16666666666666666
No-Rules Era,4.4,0,1,1,1,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727
No-Rules Era,2.2333333333333334,12,21,0,0,5.3731343283582085,9.402985074626866,0.0,0.0
No-Rules Era,5.516666666666667,3,6,1,1,0.5438066465256798,1.0876132930513596,0.18126888217522658,0.18126888217522658
No-Rules Era,0.8,5,9,1,1,6.25,11.25,1.25,1.25
No-Rules Era,0.2166666666666666,8,8,1,1,36.923076923076934,36.923076923076934,4.615384615384617,4.615384615384617
No-Rules Era,9.05,7,9,0,0,0.7734806629834253,0.9944751381215469,0.0,0.0
No-Rules Era,10.0,9,38,0,0,0.9,3.8,0.0,0.0
No-Rules Era,0.1333333333333333,3,4,0,0,22.500000000000004,30.000000000000007,0.0,0.0
No-Rules Era,7.416666666666667,13,16,2,2,1.7528089887640448,2.157303370786517,0.2696629213483146,0.2696629213483146
No-Rules Era,3.2333333333333334,9,11,1,1,2.783505154639175,3.402061855670103,0.30927835051546393,0.30927835051546393
No-Rules Era,5.533333333333333,8,17,1,1,1.4457831325301205,3.072289156626506,0.18072289156626506,0.18072289156626506
No-Rules Era,12.0,8,29,3,3,0.6666666666666666,2.4166666666666665,0.25,0.25
No-Rules Era,0.7833333333333333,3,3,0,0,3.8297872340425534,3.8297872340425534,0.0,0.0
No-Rules Era,9.5,46,59,1,1,4.842105263157895,6.2105263157894735,0.10526315789473684,0.10526315789473684
No-Rules Era,13.0,16,75,0,2,1.2307692307692308,5.769230769230769,0.0,0.15384615384615385
No-Rules Era,7.0,33,48,2,2,4.714285714285714,6.857142857142857,0.2857142857142857,0.2857142857142857
No-Rules Era,4.616666666666666,11,16,1,1,2.3826714801444044,3.465703971119134,0.21660649819494587,0.21660649819494587
No-Rules Era,1.4666666666666666,5,6,0,0,3.409090909090909,4.090909090909091,0.0,0.0
No-Rules Era,11.566666666666666,34,60,3,5,2.9394812680115274,5.187319884726225,0.25936599423631124,0.43227665706051877
No-Rules Era,2.4166666666666665,2,5,1,2,0.8275862068965518,2.0689655172413794,0.4137931034482759,0.8275862068965518
No-Rules Era,10.35,27,28,1,1,2.608695652173913,2.7053140096618358,0.0966183574879227,0.0966183574879227
No-Rules Era,5.95,21,36,0,2,3.5294117647058822,6.050420168067227,0.0,0.3361344537815126
No-Rules Era,2.716666666666667,25,30,1,2,9.202453987730062,11.042944785276074,0.36809815950920244,0.7361963190184049
No-Rules Era,0.75,7,7,1,1,9.333333333333334,9.333333333333334,1.3333333333333333,1.3333333333333333
No-Rules Era,0.4666666666666667,6,8,1,1,12.857142857142858,17.142857142857142,2.142857142857143,2.142857142857143
No-Rules Era,2.1,8,9,1,1,3.8095238095238093,4.285714285714286,0.47619047619047616,0.47619047619047616
No-Rules Era,15.0,18,21,1,1,1.2,1.4,0.06666666666666667,0.06666666666666667
No-Rules Era,2.333333333333333,9,10,1,1,3.8571428571428577,4.2857142857142865,0.4285714285714286,0.4285714285714286
No-Rules Era,8.0,60,94,0,1,7.5,11.75,0.0,0.125
No-Rules Era,1.3666666666666667,6,18,0,0,4.390243902439025,13.170731707317072,0.0,0.0
No-Rules Era,1.05,9,17,1,1,8.571428571428571,16.19047619047619,0.9523809523809523,0.9523809523809523
No-Rules Era,0.3333333333333333,0,0,0,0,0.0,0.0,0.0,0.0
No-Rules Era,11.316666666666666,16,30,0,0,1.4138438880706923,2.6509572901325478,0.0,0.0
No-Rules Era,9.133333333333333,9,11,0,3,0.9854014598540146,1.2043795620437956,0.0,0.3284671532846716
No-Rules Era,2.85,4,9,0,1,1.4035087719298245,3.1578947368421053,0.0,0.3508771929824561
No-Rules Era,5.8,22,39,1,1,3.793103448275862,6.724137931034483,0.1724137931034483,0.1724137931034483
Dark Ages,0.7166666666666667,9,12,0,0,12.55813953488372,16.74418604651163,0.0,0.0
Dark Ages,2.95,4,12,0,0,1.3559322033898304,4.067796610169491,0.0,0.0
Dark Ages,0.65,2,4,1,1,3.0769230769230766,6.153846153846153,1.5384615384615383,1.5384615384615383
Dark Ages,8.033333333333333,30,42,2,2,3.7344398340248963,5.228215767634855,0.24896265560165975,0.24896265560165975
Dark Ages,1.4,0,3,1,1,0.0,2.142857142857143,0.7142857142857143,0.7142857142857143
Dark Ages,8.0,20,43,1,1,2.5,5.375,0.125,0.125
Dark Ages,1.2833333333333334,17,29,0,0,13.246753246753245,22.597402597402596,0.0,0.0
Dark Ages,0.5166666666666667,21,24,1,1,40.64516129032258,46.4516129032258,1.9354838709677418,1.9354838709677418
Dark Ages,1.3833333333333333,11,13,0,0,7.951807228915663,9.397590361445783,0.0,0.0
Dark Ages,8.0,35,54,0,0,4.375,6.75,0.0,0.0
Dark Ages,1.6,0,0,0,0,0.0,0.0,0.0,0.0
Dark Ages,1.5,0,0,1,1,0.0,0.0,0.6666666666666666,0.6666666666666666
Dark Ages,0.9333333333333332,1,1,1,1,1.0714285714285716,1.0714285714285716,1.0714285714285716,1.0714285714285716
Dark Ages,2.0,0,5,0,1,0.0,2.5,0.0,0.5
Dark Ages,3.216666666666667,16,19,1,1,4.974093264248705,5.9067357512953365,0.31088082901554404,0.31088082901554404
Dark Ages,0.8666666666666667,15,24,1,1,17.307692307692307,27.69230769230769,1.1538461538461537,1.1538461538461537
Dark Ages,13.0,55,65,0,0,4.230769230769231,5.0,0.0,0.0
Dark Ages,1.6333333333333333,3,6,1,1,1.836734693877551,3.673469387755102,0.6122448979591837,0.6122448979591837
Dark Ages,0.7333333333333333,2,4,1,1,2.7272727272727275,5.454545454545455,1.3636363636363638,1.3636363636363638
Dark Ages,2.1666666666666665,9,21,1,1,4.153846153846154,9.692307692307693,0.46153846153846156,0.46153846153846156
Dark Ages,2.3666666666666667,14,20,1,1,5.915492957746479,8.450704225352112,0.4225352112676056,0.4225352112676056
Dark Ages,2.5,7,12,1,1,2.8,4.8,0.4,0.4
Dark Ages,1.5166666666666666,5,8,1,1,3.296703296703297,5.274725274725275,0.6593406593406593,0.6593406593406593
Dark Ages,1.45,3,6,1,1,2.0689655172413794,4.137931034482759,0.6896551724137931,0.6896551724137931
Dark Ages,8.0,7,9,3,3,0.875,1.125,0.375,0.375
